number of Elements,single thread sort time,multi thread sort time,arraySort  sort time,parallelSort sort time,is single thread sorted correctly,is multi thread sorted correctly,is arraySort sorted correctly,is parallelSort sorted correctly,Iteration Time
2450000,771.6,282.2,807.2,195.2,true,true,true,true
2475000,776.2,278.8,823.6,195.4,true,true,true,true
2500000,781.2,255.8,816.4,197.8,true,true,true,true
2525000,788.2,267.6,840.4,215.4,true,true,true,true
2550000,809.4,271.6,839.0,220.2,true,true,true,true
2575000,824.2,272.6,851.4,222.6,true,true,true,true
2600000,834.8,286.2,861.8,205.0,true,true,true,true
2625000,844.6,282.2,870.4,209.0,true,true,true,true
2650000,853.2,289.2,879.0,209.0,true,true,true,true
2675000,896.6,329.4,889.2,212.4,true,true,true,true
2700000,883.6,297.8,894.0,216.6,true,true,true,true
2725000,883.0,293.0,908.8,217.8,true,true,true,true
2750000,902.4,306.8,919.4,239.2,true,true,true,true
2775000,884.6,307.4,954.2,224.2,true,true,true,true
2800000,910.4,309.6,938.8,227.2,true,true,true,true
2825000,914.2,324.2,950.0,228.4,true,true,true,true
2850000,934.2,297.6,964.8,230.6,true,true,true,true
2875000,946.8,331.6,965.0,253.8,true,true,true,true
2900000,945.4,310.6,985.6,237.2,true,true,true,true
2925000,967.4,331.8,997.6,240.0,true,true,true,true
2950000,972.0,326.4,1007.0,243.6,true,true,true,true
2975000,983.8,339.6,1010.2,238.4,true,true,true,true
3000000,972.6,330.2,1022.8,269.2,true,true,true,true
3025000,1005.0,343.2,1057.4,251.6,true,true,true,true
3050000,999.8,332.2,1039.8,273.8,true,true,true,true
3075000,1026.6,350.4,1047.0,278.8,true,true,true,true
3100000,1027.8,350.2,1078.4,259.0,true,true,true,true
3125000,1039.2,353.2,1073.8,287.2,true,true,true,true
3150000,1030.4,340.0,1086.4,283.4,true,true,true,true
3175000,1033.6,347.4,1111.2,262.6,true,true,true,true
3200000,1050.6,372.0,1108.6,267.0,true,true,true,true
3225000,1071.2,374.6,1123.0,269.6,true,true,true,true
3250000,1091.0,371.0,1120.4,269.2,true,true,true,true
3275000,1087.6,365.0,1152.2,278.8,true,true,true,true
3300000,1125.6,409.0,1140.2,272.6,true,true,true,true
3325000,1121.0,390.0,1149.2,277.0,true,true,true,true
3350000,1124.4,389.2,1189.8,280.4,true,true,true,true
3375000,1142.2,379.0,1193.6,285.4,true,true,true,true
3400000,1144.8,374.4,1179.4,288.0,true,true,true,true
3425000,1158.0,386.2,1195.8,285.4,true,true,true,true
3450000,1171.0,388.6,1202.4,314.8,true,true,true,true
3475000,1176.2,408.4,1226.0,320.0,true,true,true,true
3500000,1173.6,391.8,1225.6,319.8,true,true,true,true
3525000,1199.8,404.0,1236.6,319.2,true,true,true,true
3550000,1202.6,419.6,1258.6,301.4,true,true,true,true
3575000,1206.8,414.8,1244.4,305.4,true,true,true,true
3600000,1238.8,433.8,1255.8,304.6,true,true,true,true
3625000,1250.0,419.6,1291.8,307.4,true,true,true,true
3650000,1244.2,431.4,1282.6,306.6,true,true,true,true
3675000,1249.8,1044.2,1315.8,316.2,true,true,true,true
3700000,1275.6,445.0,1301.6,322.6,true,true,true,true
3725000,1261.6,419.8,1329.0,320.2,true,true,true,true
3750000,1301.4,439.8,1325.2,319.6,true,true,true,true
3775000,1299.8,442.0,1332.8,324.8,true,true,true,true
3800000,1341.6,455.4,1368.4,334.4,true,true,true,true
3825000,1328.4,459.8,1353.6,359.6,true,true,true,true
3850000,1370.4,476.2,1359.8,329.8,true,true,true,true
3875000,1331.8,447.2,1376.8,337.0,true,true,true,true
3900000,1357.2,470.2,1391.2,368.6,true,true,true,true
3925000,1356.0,458.0,1401.2,341.6,true,true,true,true
3950000,1361.4,453.0,1419.8,343.8,true,true,true,true
